"Go until jurong point, crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...","HAM"
"Ok lar... Joking wif u oni...","HAM"
"Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)T&C's apply 08452810075over18's","SPAM"
"U dun say so early hor... U c already then say...","HAM"
"Nah I don't think he goes to usf, he lives around here though","HAM"
"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv","SPAM"
"Even my brother is not like to speak with me. They treat me like aids patent.","HAM"
"As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune","HAM"
"WINNER!! As a valued network customer you have been selected to receivea £900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.","SPAM"
"Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030","SPAM"
"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k? I've cried enough today.","HAM"
"SIX chances to win CASH! From 100 to 20,000 pounds txt> CSH11 and send to 87575. Cost 150p/day, 6days, 16+ TsandCs apply Reply HL 4 info","SPAM"
"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18","SPAM"
"I've been searching for the right words to thank you for this breather. I promise i wont take your help for granted and will fulfil my promise. You have been wonderful and a blessing at all times.","HAM"
"I HAVE A DATE ON SUNDAY WITH WILL!!","HAM"
"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL","SPAM"
"Oh k...i'm watching here:)","HAM"
"Eh u remember how 2 spell his name... Yes i did. He v naughty make until i v wet.","HAM"
"Fine if thats the way u feel. Thats the way its gota b","HAM"
"England v Macedonia - dont miss the goals/team news. Txt ur national team to 87077 eg ENGLAND to 87077 Try:WALES, SCOTLAND 4txt/ú1.20 POBOXox36504W45WQ 16+","SPAM"
"Is that seriously how you spell his name?","HAM"
"I‘m going to try for 2 months ha ha only joking","HAM"
"So ü pay first lar... Then when is da stock comin...","HAM"
"Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?","HAM"
"Ffffffffff. Alright no way I can meet up with you sooner?","HAM"
"Just forced myself to eat a slice. I'm really not hungry tho. This sucks. Mark is getting worried. He knows I'm sick when I turn down pizza. Lol","HAM"
"Lol your always so convincing.","HAM"
"Did you catch the bus ? Are you frying an egg ? Did you make a tea? Are you eating your mom's left over dinner ? Do you feel my Love ?","HAM"
"I'm back &amp; we're packing the car now, I'll let you know if there's room","HAM"
"Ahhh. Work. I vaguely remember that! What does it feel like? Lol","HAM"
"Wait that's still not all that clear, were you not sure about me being sarcastic or that that's why x doesn't want to live with us","HAM"
"Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You?","HAM"
"K tell me anything about you.","HAM"
"For fear of fainting with the of all that housework you just did? Quick have a cuppa","HAM"
"Thanks for your subscription to Ringtone UK your mobile will be charged £5/month Please confirm by replying YES or NO. If you reply NO you will not be charged","SPAM"
"Yup... Ok i go home look at the timings then i msg ü again... Xuhui going to learn on 2nd may too but her lesson is at 8am","HAM"
"Oops, I'll let you know when my roommate's done","HAM"
"I see the letter B on my car","HAM"
"Anything lor... U decide...","HAM"
"Hello! How's you and how did saturday go? I was just texting to see if you'd decided to do anything tomo. Not that i'm trying to invite myself or anything!","HAM"
"Pls go ahead with watts. I just wanted to be sure. Do have a great weekend. Abiola","HAM"
"Did I forget to tell you ? I want you , I need you, I crave you ... But most of all ... I love you my sweet Arabian steed ... Mmmmmm ... Yummy","HAM"
"07732584351 - Rodger Burns - MSG = We tried to call you re your reply to our sms for a free nokia mobile + free camcorder. Please call now 08000930705 for delivery tomorrow","SPAM"
"WHO ARE YOU SEEING?","HAM"
"Great! I hope you like your man well endowed. I am &lt;#&gt; inches...","HAM"
"No calls..messages..missed calls","HAM"
"Didn't you get hep b immunisation in nigeria.","HAM"
"Fair enough, anything going on?","HAM"
"Yeah hopefully, if tyler can't do it I could maybe ask around a bit","HAM"
"U don't know how stubborn I am. I didn't even want to go to the hospital. I kept telling Mark I'm not a weak sucker. Hospitals are for weak suckers.","HAM"
"What you thinked about me. First time you saw me in class.","HAM"
"A gram usually runs like &lt;#&gt; , a half eighth is smarter though and gets you almost a whole second gram for &lt;#&gt;","HAM"
"K fyi x has a ride early tomorrow morning but he's crashing at our place tonight","HAM"
"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about 'the cave'. I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.","HAM"
"SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV","SPAM"
"Do you know what Mallika Sherawat did yesterday? Find out now @ &lt;URL&gt;","HAM"
"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!","SPAM"
"Sorry, I'll call later in meeting.","HAM"
"Tell where you reached","HAM"
"Yes..gauti and sehwag out of odi series.","HAM"
"Your gonna have to pick up a $1 burger for yourself on your way home. I can't even move. Pain is killing me.","HAM"
"Ha ha ha good joke. Girls are situation seekers.","HAM"
"Its a part of checking IQ","HAM"
"Sorry my roommates took forever, it ok if I come by now?","HAM"
"Ok lar i double check wif da hair dresser already he said wun cut v short. He said will cut until i look nice.","HAM"
"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589","SPAM"
"Today is 'song dedicated day..' Which song will u dedicate for me? Send this to all ur valuable frnds but first rply me...","HAM"
